action,behavior_coarse,count
Assess current energy levels to decide if a light nap is needed,计划与决策,1
Assess current environment for comfortability to sleep,睡眠相关,1
Assess current environment to ensure comfort for sleeping,睡眠相关,1
Assess current fatigue level and decide if sleep is necessary,睡眠相关,1
Assess current food availability,饮食相关,1
Assess current level of fatigue,计划与决策,1
Assess current level of fatigue to determine if an early sleep routine is necessary,睡眠相关,1
Assess current location for suitable eating options,饮食相关,1
Assess current location suitability for eating,饮食相关,1
Assess current meal preparation status,饮食相关,1
Assess current state and ensure comfort,家居环境管理,1
Assess current state and ensure comfort level is suitable for sleeping,睡眠相关,1
Assess current state for comfort and readiness to sleep,睡眠相关,1
Assess current state of readiness for cooking,饮食相关,1
Assess current state of restfulness,计划与决策,1
Assess current state of wakefulness,计划与决策,1
Assess if any food is available for meal preparation,饮食相关,1
Assess mobility and shopping needs considering age and weather,购物采购,1
Assess need for food preparation,饮食相关,1
Assess need for rest based on emotional state,睡眠相关,1
Assess the availability of food at the current location,饮食相关,1
Assess the available food at home,饮食相关,1
Assess the current environment for any adjustments to the sleep setup,睡眠相关,1
Assess the meal's quality and satisfaction,饮食相关,1
Assess the need for rest given the calm and contentment,睡眠相关,1
Assess the weather conditions and ensure they are suitable for eating outside,饮食相关,1
Begin a peaceful morning routine,其他,1
Begin breakfast,饮食相关,1
Begin shopping according to the prepared list,购物采购,1
Begin shopping by purchasing the listed items,购物采购,1
Begin the day with a morning routine,其他,1
Begin the day with a short walk outside to enjoy the weather,出行移动,1
Begin the journey back to home,其他,1
Begin the journey back to home from workplace,工作任务,1
Begin the journey home,其他,1
Begin the process of falling asleep by lying down,睡眠相关,1
Begin the process of sleep,睡眠相关,1
Begin the process of sleep preparation,睡眠相关,1
Begin the relaxation process,放松与情绪调节,1
Begin the sleep process,睡眠相关,1
Begin the winding down process by reducing exposure to screens,其他,1
Begin the winding down process for sleep,睡眠相关,1
Begin the winding-down process,睡眠相关,1
Begin to get into a resting position,其他,1
Begin to mentally recollect peaceful moments of the day,其他,1
Begin to relax and drift off to sleep,睡眠相关,1
Begin to relax and prepare for sleep,睡眠相关,1
Begin to relax mind and body,放松与情绪调节,1
Begin to relax the body and mind,放松与情绪调节,1
Begin to wind down and allow the body to prepare for sleep,睡眠相关,1
Begin to wind down and practice relaxation techniques,睡眠相关,1
Begin to wind down by reducing light exposure,睡眠相关,1
Begin to wind down for sleep,睡眠相关,1
Begin winding down with deep breathing exercises,其他,1
Breathe deeply to center oneself,其他,1
Brush teeth and wash face to prepare for sleep,睡眠相关,1
Buy the items on the list,购物采购,1
Call a friend for a phone chat,数字设备与账号操作,1
Call a friend from my phone to schedule a time to meet,数字设备与账号操作,1
Call or message a friend to initiate contact,社交沟通,1
Call or message friends,社交沟通,1
"Call or send a message to friends, expressing the wish to connect and share the peaceful atmosphere of the day",社交沟通,1
"Change clothes to comfortable, weather-appropriate attire",家居环境管理,1
Change into comfortable clothes,家居环境管理,1
Change into comfortable clothing,家居环境管理,1
Change into comfortable night attire,家居环境管理,1
Check and adjust the temperature in the room to a comfortable level,家居环境管理,1
"Check and confirm the location and time of the nearest shopping center, ensuring it is open",购物采购,1
Check and dress appropriately for the weather,其他,1
Check and ensure the comfort of the bed,睡眠相关,1
Check and review the menu or items you plan to bring,购物采购,1
Check availability of outdoor seating,其他,1
Check available communication devices,数字设备与账号操作,1
Check available communication methods,其他,1
Check available contact methods,社交沟通,1
Check available food options nearby,饮食相关,1
Check comfort of bed,睡眠相关,1
Check comfort of sleeping area,睡眠相关,1
Check comfort of sleeping environment,睡眠相关,1
Check comfort of the sleeping environment,睡眠相关,1
Check contact information,社交沟通,1
Check current comfortability of sleeping environment,睡眠相关,1
Check current contact list,社交沟通,1
Check current contact list for available friends,社交沟通,1
Check current contact list for friends available to meet,社交沟通,1
Check current funds or plan budget for the shopping trip,购物采购,1
Check current list of necessary items to buy,购物采购,1
Check current location and weather suitability for shopping,购物采购,1
Check current location for nearby stores or shopping centers,购物采购,1
Check current location suitability for eating,饮食相关,1
Check current savings or budget for shopping,购物采购,1
Check current shopping list,购物采购,1
Check current time,其他,1
Check current time and assess sleep readiness,睡眠相关,1
Check current time to assess if it's an appropriate time for sleep,睡眠相关,1
Check current time to determine if it's mealtime,计划与决策,1
Check existing contacts list,其他,1
Check existing shopping list,购物采购,1
Check for a comfortable sleep environment,睡眠相关,1
Check for any available friends to contact,社交沟通,1
Check for any discomfort that may interfere with sleep,睡眠相关,1
Check for any need of rest or discomfort,睡眠相关,1
Check for any scheduled calls or meetings with friends,社交沟通,1
Check for availability of friends online,数字设备与账号操作,1
Check for available communication channels,其他,1
Check for available contacts,其他,1
Check for comfort and necessary conditions for sleep,睡眠相关,1
Check for comfort and tidiness of the sleeping area,睡眠相关,1
Check for comfort items,购物采购,1
Check for contact information of friends,社交沟通,1
Check for friends' availability,社交沟通,1
Check for friends' contact information,社交沟通,1
Check for outdoor seating availability at local cafes or restaurants,其他,1
Check for phone calls or messages from friends,数字设备与账号操作,1
Check for phone contacts,数字设备与账号操作,1
Check for seating availability at nearby outdoor cafes or restaurants,其他,1
Check if any friends are available for a call,社交沟通,1
Check if any friends are available to contact,社交沟通,1
Check if any nearby cafes or restaurants are open and have outdoor seating,其他,1
Check if any nearby outdoor eating options are open,饮食相关,1
Check if comfortable sleep conditions are met,睡眠相关,1
Check if comfortable sleeping conditions are met,睡眠相关,1
Check if environment is conducive for sleep,睡眠相关,1
Check if shopping list is complete,购物采购,1
Check if the environment is conducive for sleep,睡眠相关,1
Check if the environment is suitable for sleep,睡眠相关,1
Check if the home environment is conducive for sleep,睡眠相关,1
Check if the room is comfortable for sleep,睡眠相关,1
Check if the room is conducive for sleep,睡眠相关,1
Check if there are ingredients at home,饮食相关,1
Check if there are shopping items already at home,购物采购,1
Check inventory for necessary ingredients,购物采购,1
Check my contact list,社交沟通,1
Check my contact list for availability,社交沟通,1
Check my current contact list,社交沟通,1
Check my phone contacts,数字设备与账号操作,1
Check my phone for any missed calls or messages from friends,数字设备与账号操作,1
Check my phone for contact information,数字设备与账号操作,1
Check on any food preparation for the day,饮食相关,1
Check pantry and fridge for available food,饮食相关,1
Check pantry for ingredients,饮食相关,1
Check phone contacts for availability,数字设备与账号操作,1
Check phone contacts for available friends,数字设备与账号操作,1
Check phone contacts for recent friends' contact information,数字设备与账号操作,1
Check phone contacts list for friends,数字设备与账号操作,1
Check phone for available contacts,数字设备与账号操作,1
Check phone for available friends,数字设备与账号操作,1
Check phone for friend contact information,数字设备与账号操作,1
Check sleep environment,睡眠相关,1
Check the alarm clock to ensure it's set for a comfortable sleep duration,睡眠相关,1
Check the availability of shopping stores or markets within walking distance,购物采购,1
Check the comfort of the bed,睡眠相关,1
Check the comfort of the bed and ensure it is suitable for sleep,睡眠相关,1
Check the comfort of the sleeping environment,睡眠相关,1
Check the contact information of close friends,社交沟通,1
Check the contact information of friends,社交沟通,1
Check the contact list,社交沟通,1
Check the contact list for available friends,社交沟通,1
Check the contact list for friends,社交沟通,1
Check the contacts list,其他,1
Check the current time to ensure it's nearing bedtime,睡眠相关,1
Check the fridge and decide what to cook,饮食相关,1
Check the fridge and pantry for ingredients,饮食相关,1
Check the ingredients available for breakfast,饮食相关,1
Check the list of items needed,购物采购,1
Check the nearest shopping center locations and hours,购物采购,1
Check the opening hours of the selected store,购物采购,1
Check the phone for available contacts,数字设备与账号操作,1
Check the phone's battery level,数字设备与账号操作,1
Check the room for comfort and safety,家居环境管理,1
Check the room for comfort and security,家居环境管理,1
Check the room temperature and adjust if necessary,家居环境管理,1
Check the room temperature and adjust if needed to a comfortable level,家居环境管理,1
Check the room temperature and comfort,家居环境管理,1
Check the room temperature to ensure it's comfortable for sleeping,睡眠相关,1
Check the shopping list,购物采购,1
Check the sleep environment for comfort,睡眠相关,1
Check the temperature and comfort of the bed,睡眠相关,1
Check the time and consider any evening medication if needed,计划与决策,1
Check the time and make sure it's appropriate to go to bed,睡眠相关,1
Check the weather and temperature to determine clothing choices,家居环境管理,1
Check the weather and traffic updates for a suitable shopping time,数字设备与账号操作,1
Check weather conditions for safe travel,出行移动,1
Checkout and pay for the items,购物采购,1
Choose a contact to call,社交沟通,1
Choose a dining establishment based on availability and personal preference,饮食相关,1
Choose a friend to call or message,社交沟通,1
Choose a meal option based on available resources,饮食相关,1
Choose a meal that is appropriate for the weather,饮食相关,1
Choose a method of communication,计划与决策,1
Choose a method of contact,社交沟通,1
Choose a nearby café or restaurant if there is one,计划与决策,1
Choose a nearby dining option,饮食相关,1
Choose a nearby eatery if one is suitable,计划与决策,1
Choose a nearby grocery store,购物采购,1
Choose a shopping location that is convenient and has the desired items,购物采购,1
Choose a shopping time that minimizes weather influence,购物采购,1
Choose a suitable meal from workplace options,工作任务,1
Choose a suitable outdoor dining spot based on weather and comfort,饮食相关,1
Choose a suitable outdoor restaurant or seating area,计划与决策,1
Choose a suitable venue based on available options and distance,计划与决策,1
Choose an eating option within walking distance,饮食相关,1
Choose an outdoor dining spot with pleasant ambiance,饮食相关,1
Choose communication method,计划与决策,1
Choose the closest grocery store,购物采购,1
Choose the closest shopping location considering mobility and time of day,购物采购,1
Choose the most convenient and accessible option for shopping,购物采购,1
Choose the most convenient method to reach out,计划与决策,1
"Choose the most convenient shopping method (e.g., online or physical store)",数字设备与账号操作,1
Choose the nearest and most convenient store,购物采购,1
Close all electronic devices,数字设备与账号操作,1
Close all electronic devices to avoid distractions,数字设备与账号操作,1
"Close eyes and attempt to relax, focusing on achieving sleep",睡眠相关,1
Close eyes and initiate sleep,睡眠相关,1
Close eyes and initiate the sleep process,睡眠相关,1
Close eyes and prepare for sleep,睡眠相关,1
Close eyes and sleep,睡眠相关,1
Close eyes and transition into sleep mode,睡眠相关,1
Close eyes to initiate sleep,睡眠相关,1
"Close my eyes and begin to relax, transitioning to sleep",睡眠相关,1
Close my eyes and drift off to sleep,睡眠相关,1
Close my eyes and fall asleep,睡眠相关,1
"Close my eyes and relax, preparing to fall asleep",睡眠相关,1
Close the bedroom curtains,睡眠相关,1
Close the bedroom curtains for better sleep,睡眠相关,1
Close the bedroom curtains for darkness,睡眠相关,1
Close the bedroom curtains for privacy and darkness,睡眠相关,1
Close the bedroom curtains or blinds to reduce light exposure,睡眠相关,1
Close the bedroom curtains to block light,睡眠相关,1
Close the bedroom curtains to create a conducive sleeping environment,睡眠相关,1
Close the bedroom curtains to enhance darkness,睡眠相关,1
Close the bedroom door and turn off lights to signal to the body that it is time to sleep,睡眠相关,1
Close the bedroom door and turn off the lights,睡眠相关,1
Close the bedroom door and turn off the lights to signal the start of sleep,睡眠相关,1
Close the bedroom door to maintain privacy,睡眠相关,1
Close the bedroom lights,睡眠相关,1
Close the blinds or curtains to ensure darkness for sleep,睡眠相关,1
Close the curtains,家居环境管理,1
Close the curtains for a darker environment,家居环境管理,1
Close the curtains or blinds to block out sunlight,家居环境管理,1
Close the curtains or blinds to darken the room,家居环境管理,1
Close the curtains or blinds to ensure privacy and darkness,家居环境管理,1
Close the curtains to block light,家居环境管理,1
Close the curtains to block out sunlight,家居环境管理,1
Close the curtains to create a comfortable atmosphere,家居环境管理,1
Close the curtains to create a conducive sleep environment,睡眠相关,1
Close the curtains to create a dark environment for sleeping,睡眠相关,1
Close the curtains to create a restful atmosphere,家居环境管理,1
Close the curtains to create a sleep-conducive environment,睡眠相关,1
Close the curtains to ensure a conducive sleeping environment,睡眠相关,1
Close the curtains to ensure a dark environment,家居环境管理,1
Close the curtains to ensure darkness for sleep,睡眠相关,1
Close the curtains to ensure privacy and create a relaxing environment,放松与情绪调节,1
Close the curtains to reduce light,家居环境管理,1
Close the curtains to simulate darkness,家居环境管理,1
Close the door for security and comfort,家居环境管理,1
"Close the eyes and allow oneself to relax, preparing for sleep",睡眠相关,1
"Close the eyes and begin to relax, allowing sleep to come naturally",睡眠相关,1
Close the eyes and drift into sleep,睡眠相关,1
Close the eyes and initiate the sleep process,睡眠相关,1
Close the eyes and take deep breaths to relax,放松与情绪调节,1
Close the eyes and transition into sleep,睡眠相关,1
Close the eyes to initiate sleep,睡眠相关,1
Close the window and adjust the room temperature if necessary,家居环境管理,1
Close the window to ensure a quiet room,放松与情绪调节,1
Close the windows and curtains to create a comfortable sleeping environment,睡眠相关,1
Close your eyes and allow yourself to fall asleep,睡眠相关,1
Close your eyes and begin the sleep process,睡眠相关,1
Close your eyes and begin to drift off to sleep,睡眠相关,1
Close your eyes and drift into a peaceful sleep,睡眠相关,1
Close your eyes and fall asleep,睡眠相关,1
Close your eyes and focus on relaxation techniques,放松与情绪调节,1
Close your eyes and follow a calming breathing pattern to induce sleep,睡眠相关,1
Close your eyes and initiate the process of falling asleep,睡眠相关,1
Close your eyes and initiate the sleep process,睡眠相关,1
Close your eyes and practice deep breathing,其他,1
Close your eyes and practice mindfulness or deep breathing to promote relaxation,放松与情绪调节,1
Close your eyes and relax,放松与情绪调节,1
Close your eyes and relax until you fall asleep,睡眠相关,1
"Close your eyes and relax, preparing for sleep",睡眠相关,1
Close your eyes and take a deep breath to induce sleep,睡眠相关,1
Close your eyes and take deep breaths to calm down,放松与情绪调节,1
Close your eyes and take deep breaths to initiate sleep,睡眠相关,1
Close your eyes to drift off to sleep,睡眠相关,1
Complete the shopping by purchasing the necessary items,购物采购,1
Complete the shopping with the shopping list,购物采购,1
Concentrate on calming thoughts to facilitate sleep,睡眠相关,1
Concentrate on deep breathing and relaxation techniques to fall asleep,睡眠相关,1
Concentrate on relaxation and sleep,睡眠相关,1
Concentrate on relaxing thoughts to fall asleep,睡眠相关,1
Concentrate on relaxing thoughts to help fall asleep,睡眠相关,1
Conclude the meal with a sense of contentment,饮食相关,1
Conduct shopping based on the prepared list,购物采购,1
Conduct the shopping activity,购物采购,1
Confirm comfort of sleep environment,睡眠相关,1
Confirm the need for sleep,睡眠相关,1
Confirm the taxi request and provide any additional details if required,其他,1
Consciously decide to fall asleep in a peaceful and restful manner,睡眠相关,1
Consciously focus on sleep and relax all muscles,睡眠相关,1
Consciously prepare for sleep,睡眠相关,1
Consciously relax and initiate sleep,睡眠相关,1
Consciously relax body and mind,放松与情绪调节,1
Consider a calming activity to relax,放松与情绪调节,1
Consider any dietary restrictions or preferences for meal selection,饮食相关,1
Consider any small joys that came from the day's simplicity,计划与决策,1
Consider preparing any leftovers for tomorrow,计划与决策,1
Consider using blackout curtains if necessary,家居环境管理,1
Consider whether to store any remaining food for later,购物采购,1
Consume the meal at the workplace,工作任务,1
Contemplate the tranquility of the day while resting,放松与情绪调节,1
Create a calming bedtime routine to relax the body and mind,睡眠相关,1
Create a comfortable sleeping environment,睡眠相关,1
Decide on shopping location based on convenience and needs,购物采购,1
Decide on the most convenient time to go shopping,购物采购,1
Determine nearest shopping locations based on current location and convenience,购物采购,1
Determine shopping needs based on daily routine,购物采购,1
Determine the closest shopping destination,购物采购,1
Determine the exact address of the destination,出行移动,1
Determine the most convenient store or shopping center for the chosen shopping type,购物采购,1
Determine the most convenient store to visit,购物采购,1
Dim lights to create a calming environment,放松与情绪调节,1
Dim lights to create a restful environment,家居环境管理,1
Dim the lights in the room to create a calming atmosphere,放松与情绪调节,1
Dim the lights in the room to create a relaxing atmosphere,放松与情绪调节,1
Dim the lights to create a conducive sleep environment,睡眠相关,1
Dim the lights to create a sleep-friendly environment,睡眠相关,1
Dim the lights to create a sleep-inducing environment,睡眠相关,1
Dim the lights to create a soothing environment,家居环境管理,1
Dim the lights to signal the body it's time to rest,睡眠相关,1
Dim the lights to signal the body to relax,放松与情绪调节,1
Dim the lights to signal the brain that it's time to sleep,睡眠相关,1
Dim the lights to signal the end of the day,家居环境管理,1
Dispose of any waste from the meal,饮食相关,1
Dispose of any waste properly,其他,1
Dispose of any waste properly after the meal,饮食相关,1
Dispose of food waste appropriately after eating,饮食相关,1
Dispose of meal waste appropriately,饮食相关,1
Dispose of the mealware responsibly after the meal,饮食相关,1
Dress appropriately for outdoor activities,其他,1
Dress appropriately for the weather and walking,其他,1
"Dress appropriately for the weather, as it is sunny and the temperature is moderate",家居环境管理,1
Dress in comfortable clothes,家居环境管理,1
Eat the meal alone to maintain personal space and peace,饮食相关,1
Eat the meal at workplace,工作任务,1
End the reflection with a moment of gratitude for the tranquility,放松与情绪调节,1
End work duties and prepare to leave workplace,工作任务,1
End workday and prepare to leave workplace,工作任务,1
"Engage in a calming activity before bed, such as reading",睡眠相关,1
"Engage in a calming activity before sleep, if desired",睡眠相关,1
Engage in a calming activity before sleeping (if needed),睡眠相关,1
"Engage in a calming activity if needed (e.g., reading or meditating) before lying down",放松与情绪调节,1
Engage in a calming activity or meditation to facilitate sleep,睡眠相关,1
Engage in a calming activity to help fall asleep,睡眠相关,1
Engage in a calming activity to prepare for sleep,睡眠相关,1
Engage in a calming activity to promote sleep,睡眠相关,1
Engage in a calming activity to signal the body it's time to rest,睡眠相关,1
Engage in a calming activity to signal to the body it's time to sleep,睡眠相关,1
"Engage in a calming activity, such as reading, to induce sleep",睡眠相关,1
Engage in a calming routine,放松与情绪调节,1
Engage in a light reading or meditation to calm the mind,放松与情绪调节,1
"Engage in a quiet, restful activity to help signal to the body that it's time to sleep",睡眠相关,1
"Engage in a relaxing activity (e.g., reading) to induce sleep",睡眠相关,1
"Engage in a relaxing activity before sleeping (e.g., reading)",睡眠相关,1
"Engage in a relaxing activity or simply rest, savoring the peacefulness of the day",睡眠相关,1
Engage in a relaxing activity to calm the mind before sleep,睡眠相关,1
Engage in a relaxing activity to ease into sleep,睡眠相关,1
Engage in a relaxing activity to help fall asleep,睡眠相关,1
Engage in a relaxing activity to prepare for sleep,睡眠相关,1
Engage in a relaxing activity to unwind before sleeping,睡眠相关,1
"Engage in a relaxing activity, such as reading, to help in winding down",放松与情绪调节,1
Engage in calming activities,放松与情绪调节,1
Engage in calming activities to induce sleep,睡眠相关,1
Engage in calming activities to relax before sleep,睡眠相关,1
Engage in gentle relaxation techniques,放松与情绪调节,1
Engage in light breathing exercises or meditation to calm the mind,放松与情绪调节,1
Engage in light breathing exercises to calm the mind,放松与情绪调节,1
Engage in light reading or meditation to induce sleep,睡眠相关,1
Enjoy a comfortable indoor meal,饮食相关,1
Enjoy a cup of coffee in the garden to connect with the serene weather,其他,1
Enjoy a quiet moment of reflection or relaxation,放松与情绪调节,1
Enjoy a restful sleep,睡眠相关,1
"Enjoy the meal alone or possibly invite a close friend or family member, if the mood suits",社交沟通,1
Enjoy the meal alone or with a companion if desired,饮食相关,1
Enjoy the meal and the peaceful day,饮食相关,1
"Enjoy the meal without rushing, savoring the tranquility",饮食相关,1
Enjoy the peaceful atmosphere of the home,其他,1
Enjoy the peaceful morning,其他,1
Enjoy the quiet and contentment of the evening,放松与情绪调节,1
Ensure a calm and quiet environment to promote sleep,睡眠相关,1
Ensure a comfortable sleeping environment by adjusting lighting and sounds,睡眠相关,1
Ensure a comfortable temperature for sleep,睡眠相关,1
Ensure a quiet room for sleep,睡眠相关,1
Ensure a safe and secure sleep environment,睡眠相关,1
Ensure a suitable temperature for sleep,睡眠相关,1
Ensure all electronic devices are turned off or on silent mode,数字设备与账号操作,1
Ensure all electronic devices are turned off to create a quiet environment,数字设备与账号操作,1
Ensure all necessary ingredients and utensils are available,饮食相关,1
Ensure all necessary items for sleep are in reach,购物采购,1
Ensure all necessary items for sleep are within reach,购物采购,1
Ensure all necessary nighttime activities are complete,其他,1
Ensure all necessary preparations for a restful sleep are in place,睡眠相关,1
Ensure any necessary items like a glass of water or tissues are within reach before lying down,购物采购,1
Ensure bedroom environment is conducive to sleep,睡眠相关,1
Ensure comfort and safety for sleeping,睡眠相关,1
Ensure comfort for sleeping,睡眠相关,1
Ensure comfort in sleeping area,睡眠相关,1
Ensure comfort in the sleep environment,睡眠相关,1
Ensure comfortability for sleeping,睡眠相关,1
Ensure comfortability in the sleeping environment,睡眠相关,1
Ensure cooking equipment is turned off and cool down before sitting down to eat,饮食相关,1
Ensure home environment is suitable for eating,饮食相关,1
Ensure home is prepared for meal,饮食相关,1
"Ensure hydration, if not already done",其他,1
Ensure meal is enjoyable and satisfying,饮食相关,1
Ensure meal is suitable for retirement age diet,饮食相关,1
Ensure proper waste disposal after meal,饮食相关,1
Ensure room temperature is comfortable for sleep,睡眠相关,1
Ensure satisfaction with meal,饮食相关,1
Ensure that all necessary items are within reach,购物采购,1
Ensure that the meal is ready to be served,饮食相关,1
Ensure the bedroom environment is conducive for sleep,睡眠相关,1
Ensure the bedroom is at a comfortable temperature for sleep,睡眠相关,1
Ensure the bedroom is comfortable and conducive to sleep,睡眠相关,1
Ensure the environment is conducive to sleep,睡眠相关,1
Ensure the environment is conducive to sleeping,睡眠相关,1
"Ensure the environment is suitable for eating (e.g., clear away clutter)",饮食相关,1
Ensure the food is safe and suitable for consumption,饮食相关,1
Ensure the fridge is restocked,其他,1
Ensure the home environment is comfortable and conducive to sleep,睡眠相关,1
Ensure the home environment is conducive for sleep,睡眠相关,1
Ensure the living environment is conducive to sleep,睡眠相关,1
Ensure the living space is conducive to sleep,睡眠相关,1
Ensure the meal is consumed safely,饮食相关,1
Ensure the room is at a comfortable temperature,家居环境管理,1
Ensure the room is at a comfortable temperature for sleep,睡眠相关,1
Ensure the room is at a comfortable temperature for sleeping,睡眠相关,1
Ensure the room is at a suitable temperature for sleeping,睡眠相关,1
Ensure the room is comfortable,家居环境管理,1
Ensure the room is conducive for sleep,睡眠相关,1
Ensure the room is conducive to sleep (cool and quiet),睡眠相关,1
Ensure the room is conducive to sleep by adjusting temperature and lighting,睡眠相关,1
Ensure the room is conducive to sleep; adjust temperature if necessary,睡眠相关,1
Ensure the room is cool and comfortable at 23C,家居环境管理,1
Ensure the room is dark,家居环境管理,1
Ensure the room is quiet and conducive to sleep,睡眠相关,1
"Ensure the room is suitable for sleep (quiet, comfortable temperature)",睡眠相关,1
Ensure the room temperature is suitable,家居环境管理,1
Ensure the sleeping environment is comfortable and ready,睡眠相关,1
Ensure the sleeping environment is comfortable and suitable,睡眠相关,1
Enter a relaxed state,其他,1
Enter a relaxed state of mind,其他,1
Enter a restful sleep state,睡眠相关,1
Enter a state of calm and readiness for sleep,睡眠相关,1
Enter a state of rest,睡眠相关,1
Enter a state of sleep,睡眠相关,1
Enter bedroom,睡眠相关,1
Enter bedroom and lie down,睡眠相关,1
Enter home,出行移动,1
Enter home safely,出行移动,1
Enter into a state of relaxation and drift off to sleep,睡眠相关,1
Enter rest mode,睡眠相关,1
Enter sleep mode and rest,睡眠相关,1
Enter sleep mode by lying down,睡眠相关,1
Enter sleep mode by lying down in the bed,睡眠相关,1
Enter sleep mode mentally,睡眠相关,1
"Enter sleep mode, allowing for rest and rejuvenation",睡眠相关,1
Enter the bed,睡眠相关,1
Enter the bedroom and lie down in bed,睡眠相关,1
Enter the bedroom to begin the sleep process,睡眠相关,1
Enter the destination address in the app,数字设备与账号操作,1
Enter the house and prepare for sleep,睡眠相关,1
Enter the sleep phase,睡眠相关,1
Enter the sleeping environment,睡眠相关,1
Enter the sleeping environment at the current time,睡眠相关,1
Enter the sleeping position,睡眠相关,1
Evaluate available food options at current location,饮食相关,1
Evaluate available food options nearby,饮食相关,1
Evaluate existing food supplies,购物采购,1
Evaluate hunger level and plan menu,计划与决策,1
Evaluate the current weather conditions to ensure safety and comfort,家居环境管理,1
Evaluate the meal's taste and quality,饮食相关,1
Evaluate the taste and satisfaction of the meal,饮食相关,1
Execute shopping list and purchase necessary items,购物采购,1
Exit home and go to the nearest shopping center,购物采购,1
Fall asleep in a tranquil environment,睡眠相关,1
Find a comfortable seating arrangement,家居环境管理,1
Find a comfortable spot to eat,饮食相关,1
Find a suitable outdoor dining location,饮食相关,1
Find a suitable outdoor seating area,其他,1
Find an outdoor dining location suitable for an older adult,饮食相关,1
Focus on breathing and ease into sleep,睡眠相关,1
Focus on breathing deeply and slowly to promote sleep,睡眠相关,1
Focus on deep breathing to promote relaxation and prepare for sleep,睡眠相关,1
Focus on maintaining a peaceful sleep environment,睡眠相关,1
Focus on relaxation techniques,放松与情绪调节,1
Focus on relaxation techniques to aid in falling asleep,睡眠相关,1
Focus on relaxation techniques to initiate sleep,睡眠相关,1
Focus on relaxing your body and mind to fall asleep,睡眠相关,1
Focus on sleep-inducing thoughts or visualization,睡眠相关,1
Gather any leftover food to store properly for future use,购物采购,1
Gather any leftovers for future meals if needed,其他,1
Gather necessary ingredients for a simple meal to maintain ease of cooking,饮食相关,1
Gently brush teeth to prepare for sleep,睡眠相关,1
Gently close and lower bedroom lights to signal the body it's time to sleep,睡眠相关,1
Get comfortable in the bed,睡眠相关,1
Get dressed in comfortable clothing suitable for the weather,家居环境管理,1
Get into a comfortable sleeping position,睡眠相关,1
Get into bed and prepare for sleep,睡眠相关,1
Get into bed and settle down for sleep,睡眠相关,1
Get into bed at a comfortable temperature,睡眠相关,1
Get into comfortable clothing,家居环境管理,1
Get into comfortable night attire,家居环境管理,1
Get into comfortable sleepwear,家居环境管理,1
Get ready for shopping,购物采购,1
Get ready for shopping by dressing comfortably and safely,购物采购,1
"Get ready to leave home, considering the weather and temperature",出行移动,1
Get ready to leave home; wear comfortable clothing and footwear,出行移动,1
Go to bed at a reasonable hour,睡眠相关,1
Go to bed at a reasonable hour for a 63-year-old,睡眠相关,1
Go to bed at a reasonable time for your age and activity level,睡眠相关,1
Go to bed at a time conducive to rest,睡眠相关,1
Go to bed at an appropriate time for a 7-8 hour sleep cycle,睡眠相关,1
Go to sleep in the bedroom,睡眠相关,1
Go to the bedroom,睡眠相关,1
Go to the nearest shopping center,购物采购,1
Go to the nearest supermarket,购物采购,1
Go to the shopping location,购物采购,1
Gradually reduce activities to signal the body to wind down,睡眠相关,1
Greet pets if any are at home,其他,1
Identify a suitable friend to contact,社交沟通,1
Identify close friends,社交沟通,1
Identify friends to contact,社交沟通,1
Identify friends to contact based on current location and common interests,社交沟通,1
Identify nearby stores or markets for convenience,其他,1
Identify nearby stores with shopping needs,购物采购,1
Identify shopping needs,购物采购,1
Identify shopping needs based on daily consumption,购物采购,1
Identify suitable food item for the weather and temperature,饮食相关,1
Identify suitable friends to contact,社交沟通,1
Identify the preferred mode of contact,社交沟通,1
"If suitable, find a quiet spot to sit and enjoy the sunny weather",放松与情绪调节,1
Initiate contact via phone call,数字设备与账号操作,1
Initiate sleep by lying down in the bed,睡眠相关,1
Initiate sleep routine,睡眠相关,1
Lay down and begin to wind down,睡眠相关,1
Lay down and close eyes,睡眠相关,1
Lay down and get into a comfortable position,睡眠相关,1
Lay down and relax in the bed,睡眠相关,1
Lay down and rest,睡眠相关,1
Lay down in bed and adjust pillows,睡眠相关,1
Lay down in bed and drift off to sleep,睡眠相关,1
Lay down in bed and initiate the sleep process,睡眠相关,1
Lay down in bed in a relaxed position,睡眠相关,1
Lay down in bed with the intention to sleep,睡眠相关,1
Lay down in the bed and practice relaxation techniques if feeling anxious,睡眠相关,1
Lay down in the bed to initiate the sleep process,睡眠相关,1
Lay in bed and prepare to fall asleep,睡眠相关,1
Lay in bed in a relaxed state and gradually drift off to sleep,睡眠相关,1
Lay in bed with intention to sleep,睡眠相关,1
Lay in the bed,睡眠相关,1
Leave home,出行移动,1
Leave home for the selected shopping location,购物采购,1
Leave home for the shopping destination,购物采购,1
Leave home to go to the nearest shopping center,购物采购,1
Leave workplace and initiate journey home,工作任务,1
Leave workplace and travel back to home,工作任务,1
Lie down and allow yourself to drift off to sleep,睡眠相关,1
Lie down and assume a comfortable sleeping position,睡眠相关,1
Lie down and close eyes,睡眠相关,1
Lie down and close eyes to initiate sleep,睡眠相关,1
Lie down and close the eyes to signal readiness for sleep,睡眠相关,1
Lie down and close the eyes to transition into sleep,睡眠相关,1
Lie down and fall asleep,睡眠相关,1
Lie down and initiate the process of falling asleep,睡眠相关,1
